Date-Time,Latitude,Longitude,Altitude(cm),GPSSpeed(mknots),CarSpeed(Km/h),Engine(RPM),CarLoad(%),MassAir(g/s),AccelX(g),AccelY(g),AccelZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),T_OBD(ms),T_SAVE(ms),T_MAIN(ms)
6/6/2021-24:25:28.500,508233342,46129497,8040,8,0,294,0,2,-0.0381,-0.8003,0.5846,2.17,-4.34,-1.96,24,0,117
6/6/2021-24:25:28.600,508233340,46129497,8040,23,0,220,83,3,-0.0415,-0.7823,0.5963,2.17,-4.06,-1.75,19,27,51
6/6/2021-24:25:28.700,508233340,46129497,8040,18,0,366,81,3,-0.0439,-0.7725,0.6217,2.31,-4.55,-2.03,18,27,46
6/6/2021-24:25:28.800,508233340,46129497,8040,12,0,522,75,4,-0.0346,-0.7852,0.6261,2.10,-4.34,-2.31,18,32,50
6/6/2021-24:25:28.900,508233340,46129497,8040,21,0,688,59,7,-0.0410,-0.8052,0.6061,2.24,-4.34,-2.03,19,28,46
6/6/2021-24:25:29.0,508233340,46129497,8040,20,0,786,3,10,-0.0381,-0.8101,0.6002,2.24,-4.20,-2.10,19,27,46
6/6/2021-24:25:29.100,508233340,46129497,8040,11,0,842,11,10,-0.0249,-0.7974,0.5910,2.45,-4.27,-1.89,18,28,47
6/6/2021-24:25:29.200,508233340,46129497,8040,39,0,800,18,9,-0.0312,-0.8072,0.5988,2.03,-4.69,-2.10,22,28,46
6/6/2021-24:25:29.300,508233340,46129495,8040,32,0,766,19,8,-0.0454,-0.8032,0.5949,1.96,-4.34,-2.17,18,31,53
6/6/2021-24:25:29.400,508233340,46129495,8040,20,0,768,18,8,-0.0342,-0.8120,0.5924,2.03,-4.41,-2.03,18,29,47
6/6/2021-24:25:29.500,508233340,46129495,8040,22,0,768,19,8,-0.0386,-0.7871,0.5797,2.24,-4.41,-1.89,19,28,46
6/6/2021-24:25:29.600,508233340,46129495,8040,39,0,765,19,8,-0.0342,-0.7901,0.5705,2.17,-3.85,-1.89,18,27,46
6/6/2021-24:25:29.700,508233340,46129495,8040,28,0,766,18,8,-0.0351,-0.8101,0.5812,2.24,-3.78,-2.03,19,29,47
6/6/2021-24:25:29.800,508233340,46129495,8040,18,0,771,17,8,-0.0517,-0.7881,0.6012,2.38,-4.27,-1.96,20,31,50
6/6/2021-24:25:29.900,508233340,46129495,8040,32,0,774,17,9,-0.0361,-0.8023,0.5973,2.03,-4.13,-1.75,18,28,48
6/6/2021-24:25:30.0,508233338,46129495,8040,13,0,776,16,9,-0.0376,-0.8067,0.6017,2.10,-4.48,-2.10,20,29,47
6/6/2021-24:25:30.100,508233338,46129495,8040,12,0,775,16,9,-0.0400,-0.8042,0.5851,1.68,-4.06,-1.89,20,27,47
6/6/2021-24:25:30.200,508233338,46129495,8040,12,0,768,20,8,-0.0429,-0.7998,0.5802,2.17,-4.20,-1.96,18,31,51
6/6/2021-24:25:30.300,508233338,46129495,8040,14,0,760,20,9,-0.0342,-0.8003,0.5807,2.31,-4.48,-1.96,19,29,47
6/6/2021-24:25:30.400,508233338,46129495,8040,1,0,760,20,9,-0.0376,-0.7896,0.5734,2.17,-3.92,-1.89,19,27,46
6/6/2021-24:25:30.500,508233338,46129495,8040,7,0,763,20,9,-0.0434,-0.8120,0.6051,2.31,-4.13,-1.96,25,28,47
6/6/2021-24:25:30.600,508233338,46129495,8040,17,0,764,20,9,-0.0454,-0.8003,0.6198,3.01,-4.06,-2.17,22,28,53
6/6/2021-24:25:30.700,508233338,46129495,8040,22,0,765,20,9,-0.0288,-0.8013,0.5993,2.17,-3.99,-1.96,19,30,52
6/6/2021-24:25:30.800,508233338,46129495,8040,18,0,766,20,9,-0.0322,-0.8067,0.5993,2.24,-4.34,-1.96,18,28,47
