Date-Time;Latitude;Longitude;Altitude(cm);GPSSpeed(mknots);CarSpeed(Km/h);Engine(RPM);CarLoad(%);MassAir(g/s);AccelX(g);AccelY(g);AccelZ(g);GyroX(dps);GyroY(dps);GyroZ(dps);T_OBD(ms);T_SAVE(ms);T_MAIN(ms)
7/6/2021-2:29:3.500;508499673;44275427;5790;9;0;235;86;2;-0.0346;-0.8379;0.5549;2.38;-4.13;-2.17;21;0;185
7/6/2021-2:29:3.600;508499673;44275428;5790;15;0;201;86;2;-0.0234;-0.8335;0.5573;2.59;-4.06;-1.96;24;37;58
7/6/2021-2:29:3.700;508499673;44275428;5790;28;0;274;100;3;-0.0146;-0.8364;0.5514;2.24;-3.99;-2.17;17;28;52
7/6/2021-2:29:3.800;508499673;44275428;5790;5;0;282;80;4;-0.0142;-0.8506;0.5270;1.82;-4.06;-1.89;18;33;50
7/6/2021-2:29:3.900;508499672;44275428;5790;9;0;544;70;6;-0.0161;-0.8433;0.5358;2.10;-4.34;-1.89;18;28;46
7/6/2021-2:29:4.0;508499672;44275430;5790;18;0;666;43;10;-0.0176;-0.8242;0.5280;2.24;-3.85;-1.89;22;28;46
7/6/2021-2:29:4.100;508499672;44275430;5790;20;0;849;0;11;-0.0395;-0.8418;0.5427;2.03;-4.55;-2.17;19;29;51
7/6/2021-2:29:4.200;508499670;44275430;5790;21;0;842;13;10;-0.0278;-0.8477;0.5353;1.61;-4.55;-2.03;20;29;48
7/6/2021-2:29:4.300;508499670;44275432;5790;5;0;795;18;9;-0.0273;-0.8067;0.5348;2.17;-3.92;-1.96;17;33;53
7/6/2021-2:29:4.400;508499670;44275432;5800;7;0;770;18;9;-0.0400;-0.8335;0.5388;2.24;-3.85;-2.03;18;29;46
7/6/2021-2:29:4.500;508499668;44275432;5800;22;0;769;18;9;-0.0322;-0.8306;0.5558;2.45;-3.99;-1.96;18;29;47
7/6/2021-2:29:4.600;508499668;44275433;5800;12;0;768;18;9;-0.0181;-0.8374;0.5549;1.82;-4.55;-2.03;22;28;46
7/6/2021-2:29:4.700;508499668;44275433;5800;19;0;767;18;9;-0.0298;-0.8184;0.5466;2.31;-4.62;-1.82;18;29;51
7/6/2021-2:29:4.800;508499668;44275433;5800;19;0;771;17;9;-0.0166;-0.8379;0.5510;1.54;-4.55;-2.10;18;33;51
7/6/2021-2:29:4.900;508499667;44275433;5800;24;0;775;17;9;-0.0405;-0.8257;0.5431;2.31;-3.92;-1.89;22;28;46
7/6/2021-2:29:5.0;508499667;44275435;5800;9;0;775;16;9;-0.0322;-0.8389;0.5558;2.31;-4.13;-1.89;22;29;51
7/6/2021-2:29:5.100;508499665;44275435;5800;33;0;771;18;9;-0.0386;-0.8291;0.5490;2.24;-3.85;-1.89;18;28;50
7/6/2021-2:29:5.200;508499665;44275435;5800;49;0;766;19;9;-0.0244;-0.8233;0.5324;2.31;-4.41;-1.89;22;28;46
7/6/2021-2:29:5.300;508499665;44275435;5800;13;0;762;20;9;-0.0224;-0.8330;0.5671;2.17;-4.06;-1.82;18;33;55
7/6/2021-2:29:5.400;508499663;44275435;5800;33;0;762;19;9;-0.0185;-0.8472;0.5651;1.68;-4.62;-1.96;18;28;46
7/6/2021-2:29:5.500;508499663;44275437;5800;30;0;764;20;9;-0.0239;-0.8384;0.5568;2.10;-4.76;-2.24;20;28;46
7/6/2021-2:29:5.600;508499663;44275437;5800;31;0;765;19;9;-0.0215;-0.8369;0.5334;2.24;-3.99;-1.96;24;29;49
7/6/2021-2:29:5.700;508499663;44275437;5810;26;0;767;19;9;-0.0371;-0.8257;0.5353;2.45;-3.57;-1.89;22;33;57
7/6/2021-2:29:5.800;508499662;44275437;5810;1;0;765;20;9;-0.0390;-0.8301;0.5402;2.24;-3.71;-1.89;22;29;51
7/6/2021-2:29:5.900;508499662;44275437;5810;29;0;765;20;9;-0.0444;-0.8247;0.5612;2.24;-3.85;-1.82;22;29;51
7/6/2021-2:29:6.0;508499660;44275437;5810;9;0;765;20;9;-0.0307;-0.7906;0.5475;2.73;-3.78;-2.03;18;28;50
7/6/2021-2:29:6.100;508499660;44275438;5810;36;0;766;20;9;-0.0176;-0.8096;0.5680;1.96;-4.90;-1.89;22;29;47
7/6/2021-2:29:6.200;508499658;44275438;5810;49;0;764;21;9;-0.0332;-0.8296;0.5973;2.17;-5.04;-2.10;22;33;55
7/6/2021-2:29:6.300;508499658;44275438;5810;130;0;762;22;9;0.0098;-0.8281;0.5934;2.10;-3.92;-2.24;18;28;50
7/6/2021-2:29:6.400;508499657;44275438;5810;128;0;756;23;9;-0.0371;-0.8320;0.5890;2.17;-4.41;-2.10;22;29;47
7/6/2021-2:29:6.500;508499657;44275440;5810;115;0;753;25;9;-0.0342;-0.8477;0.5622;1.96;-4.69;-1.82;22;29;51
7/6/2021-2:29:6.600;508499655;44275440;5810;213;0;752;41;9;-0.0249;-0.8252;0.5407;1.26;-5.11;-1.68;21;29;51
7/6/2021-2:29:6.700;508499653;44275442;5810;162;0;780;43;5;-0.0146;-0.8311;0.5568;1.82;-4.41;-1.75;22;34;55
7/6/2021-2:29:6.800;508499653;44275442;5810;205;0;828;51;6;-0.0107;-0.8252;0.5466;2.59;-3.92;-1.68;22;29;51
7/6/2021-2:29:6.900;508499653;44275442;5810;149;0;888;62;7;-0.0307;-0.8316;0.5280;2.24;-3.78;-1.61;20;29;51
7/6/2021-2:29:7.0;508499652;44275443;5810;165;0;945;63;8;-0.0337;-0.8189;0.5549;2.52;-3.99;-1.54;19;29;49
7/6/2021-2:29:7.100;508499652;44275443;5810;137;0;1002;61;9;-0.0249;-0.7974;0.5915;3.01;-4.34;-1.47;22;29;48
7/6/2021-2:29:7.200;508499652;44275445;5810;123;0;1053;70;9;-0.0464;-0.8218;0.5880;2.59;-4.76;-1.26;22;34;56
7/6/2021-2:29:7.300;508499652;44275445;5810;174;0;1062;70;10;-0.0102;-0.7910;0.6217;3.15;-4.83;-1.19;22;29;51
7/6/2021-2:29:7.400;508499650;44275447;5810;301;0;1067;71;10;-0.0229;-0.7808;0.6085;2.87;-5.60;-1.26;22;29;51
7/6/2021-2:29:7.500;508499650;44275448;5810;309;0;1071;70;10;-0.0547;-0.7842;0.5783;2.66;-5.88;-1.33;17;29;51
7/6/2021-2:29:7.600;508499648;44275450;5810;423;0;1069;77;9;-0.0590;-0.7749;0.6134;2.66;-7.00;-0.77;22;34;51
7/6/2021-2:29:7.700;508499647;44275453;5810;442;1;1056;88;9;-0.0449;-0.8120;0.6173;3.15;-7.28;-0.91;22;29;51
